STATION_NAME,LAT,LON,Annual,0
CUNDERDIN-AIRFIELD,-31.62,117.22,26.68,239.94205128205127
DALWALLINU-COMPARISON,-30.28,116.66,27.49,244.93717948717946
DARWIN-AIRPORT,-12.42,130.89,33.1,238.56987179487186
DENILIQUIN-AIRPORT-AWS,-35.56,144.95,24.28,217.4278205128206
DUBBO-AIRPORT-AWS,-32.22,148.58,25.54,225.25448717948706
EAST-SALE-AIRPORT,-38.12,147.13,20.92,185.64371794871795
ESPERANCE,-33.83,121.89,22.58,213.71282051282054
EUCLA,-31.68,128.88,23.87,225.51974358974354
FORREST,-30.85,128.11,26.91,233.7058974358974
GABO-ISLAND-LIGHTHOUSE,-37.57,149.92,19.46,180.68423076923068
GAYNDAH-AIRPORT,-25.62,151.62,29.74,227.89756410256413
GEORGETOWN-AIRPORT,-18.3,143.53,33.84,259.6933333333333
GERALDTON-AIRPORT-COMPARISON,-28.8,114.7,26.91,250.28230769230765
GILES-METEOROLOGICAL-OFFICE,-25.03,128.3,30.83,258.4346153846153
GROVE-RESEARCH-STATION,-42.99,147.07,18.57,171.52589743589746
GUNNEDAH-RESOURCE-CENTRE,-31.03,150.27,26.09,222.3760256410257
HALLS-CREEK-AIRPORT,-18.23,127.66,35.32,264.8110256410256
HOBART-ELLERSLIE-ROAD,-42.89,147.33,18.87,171.52589743589746
HORN-ISLAND,-10.58,142.29,31.19,216.56935897435898
INVERELL-RAGLAN-ST,-29.78,151.11,25.08,225.3560256410257
JERVIS-BAY-POINT-PERPENDICULAR-AWS,-35.09,150.8,21.44,189.42051282051278
KALGOORLIE-BOULDER-AIRPORT,-30.78,121.45,26.75,241.76628205128196
KALUMBURU,-14.3,126.65,35.31,253.63692307692304
KATANNING-COMPARISON,-33.69,117.56,23.52,222.14538461538461
KERANG,-35.72,143.92,24.27,217.55320512820515
KYANCUTTA,-33.13,135.56,26.55,219.5358974358975
LARAPUNA-EDDYSTONE-POINT,-40.99,148.35,18.73,180.59461538461534
LAUNCESTON-AIRPORT,-41.55,147.21,18.94,178.14512820512815
LAVERTON-RAAF,-37.86,144.76,21.13,189.6128205128205
LEARMONTH-AIRPORT,-22.24,114.1,32.72,270.81307692307695
LONGREACH-AERO,-23.44,144.28,33.34,259.08641025641026
LOW-HEAD,-41.06,146.79,17.47,175.65153846153848
MACKAY-M.O,-21.12,149.22,27.45,232.23512820512815
MARBLE-BAR,-21.18,119.75,36.27,269.565512820513
MARREE,-29.65,138.06,30.47,253.79653846153846
MEEKATHARRA-AIRPORT,-26.61,118.54,30.59,262.43551282051277
MELBOURNE-REGIONAL-OFFICE,-37.81,144.97,21.67,189.6128205128205
MERREDIN,-31.48,118.28,26.69,239.7682051282051
MILDURA-AIRPORT,-34.24,142.09,25.23,221.93602564102554
MILES-CONSTANCE-STREET,-26.66,150.18,28.62,236.0108974358975
MORAWA-AIRPORT,-29.2,116.02,28.71,249.73423076923078
MOREE-AERO,-29.49,149.85,27.73,236.475
MORUYA-HEADS-PILOT-STATION,-35.91,150.15,21.59,189.42051282051278
MOUNT-GAMBIER-AERO,-37.75,140.77,20.26,189.61551282051283
NHILL-AERODROME,-36.31,141.65,23.54,205.12089743589743
NORMANTON-AIRPORT,-17.69,141.07,34.57,257.7276923076922
NORTH-SHIELDS-PORT-LINCOLN-AWS,-34.6,135.88,21.84,207.30730769230766
NOWRA-RAN-AIR-STATION-AWS,-34.95,150.54,23.18,190.84615384615384
NURIOOTPA-VITICULTURAL,-34.48,139.01,22.21,215.2258974358975
OODNADATTA-AIRPORT,-27.56,135.45,31.81,256.23935897435894
ORBOST,-37.69,148.47,20.97,180.83910256410257
PALMERVILLE,-16,144.08,33.89,241.68166666666664
PERTH-AIRPORT,-31.93,115.98,26.07,235.517435897436
PORT-HEDLAND-AIRPORT,-20.37,118.63,34.31,266.47871794871804
PORT-MACQUARIE-AIRPORT-AWS,-31.43,152.87,24.73,199.05820512820512
RABBIT-FLAT,-20.18,130.01,35.04,267.73141025641024
RICHMOND-POST-OFFICE,-20.73,143.14,33.95,267.4034615384616
RICHMOND-RAAF,-33.6,150.78,24.91,193.63525641025635
ROBE-COMPARISON,-37.16,139.76,19.37,188.95474358974363
ROCKHAMPTON-AERO,-23.38,150.48,29.62,236.24166666666673
RUTHERGLEN-RESEARCH,-36.1,146.51,22.97,203.60307692307683
SCONE-AIRPORT-AWS,-32.03,150.83,25.35,206.42897435897433
SNOWTOWN-RAYVILLE-PARK,-33.77,138.22,24.8,222.78128205128198
ST-GEORGE-AIRPORT,-28.05,148.59,28.94,243.49833333333328
SYDNEY-OBSERVATORY-HILL,-33.86,151.21,23.68,195.11320512820507
TARCOOLA-AERO,-30.71,134.58,28.5,241.6348717948718
TENNANT-CREEK-AIRPORT,-19.64,134.18,33.3,267.45576923076925
THARGOMINDAH-AIRPORT,-27.99,143.81,30.65,254.66551282051267
